tablename,sql_statement
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('0341c26a-7af7-5167-b003-6caf9417f20d', 'b4157e88-6142-5d67-956a-a43b8f059148', '2184a872-fcf3-5c92-a0ed-a48bc01af254', '2026-06-20 09:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('037774c3-df04-5204-a8be-c67f520ccf6c', '28d79746-4055-5b2c-aece-d37ac1512c23', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-18 10:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('04a38164-c0a4-5794-8230-9a33508c04f4', '89f220d9-e2a1-53e9-8a56-cb1bcb524383', '4b2d2857-16f0-501a-9c56-f196f4f3ee9f', '2026-06-27 12:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('06de24a1-b477-5c1c-84fd-a75f788c46a9', '5ea032d5-6f8d-5b70-9b97-30281b21ae77', '9c2b8656-23fa-540a-89fb-52a8237998cb', '2026-06-21 19:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('092964e8-5ed8-511a-af3b-3836a0a4586d', '75dcaaee-6a69-52a3-b59a-f955e3cc510f', '23b4137c-c4fa-508d-9c1c-0bcbebc02f68', '2026-06-24 12:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('0f93df29-67a1-596f-b37b-1aa81e83d095', '89f220d9-e2a1-53e9-8a56-cb1bcb524383', 'ab6a7953-9869-5067-a715-7769252b6c26', '2026-06-27 12:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('1070a4ce-8378-54f6-a8bb-045759f9a0bc', '75dcaaee-6a69-52a3-b59a-f955e3cc510f', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-24 12:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('108e4b1a-a305-5873-a0e8-cbfb80d8963c', 'ee53cf88-96a1-5d73-bde6-47072fd43ed6', '23b4137c-c4fa-508d-9c1c-0bcbebc02f68', '2026-06-21 11:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('1230edad-957e-5f5e-b9ca-969e4a2ce876', '5ea032d5-6f8d-5b70-9b97-30281b21ae77', '6a20fca4-1847-59a7-bef0-9a4f50cf394f', '2026-06-21 19:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('142e760a-fead-5f2d-a24c-21a6caa6d88e', '3a599694-d834-5b68-bfd4-0588532682b2', 'eabe8433-844d-57c8-93c5-a451778f6b1e', '2026-06-17 08:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('1617b05d-b441-5f23-b908-3d307b8cec0f', 'b952ce52-be22-56f9-bb5c-ba2500b8cbe9', '2184a872-fcf3-5c92-a0ed-a48bc01af254', '2026-06-29 13:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('1887927a-f2ff-58cb-84c7-3c465895a03b', 'd9b812dc-194e-5d91-bb27-f8c516f7be23', 'ab6a7953-9869-5067-a715-7769252b6c26', '2026-06-18 17:05:00+00');"
